"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"
"1"	"b"	-0.0622757196037045	-0.955919763998852	"u"	"g"	"w"	"v"	-0.290871630439694	"t"	"t"	-0.287891684895625	"f"	"g"	0.104468545800926	-0.195271683820164	"+"
"2"	"a"	2.28644269250889	-0.0600069991215048	"u"	"g"	"q"	"h"	0.244013429868601	"t"	"t"	0.740292904017322	"f"	"g"	-0.819094830977085	-0.0877881958400168	"+"
"3"	"a"	-0.596305444771547	-0.855481113227849	"u"	"g"	"q"	"h"	-0.216167013078201	"t"	"f"	-0.493528602678215	"f"	"g"	0.557537372144856	-0.037117408649376	"+"
"4"	"b"	-0.315370376081355	-0.646568719624162	"u"	"g"	"w"	"v"	0.456174543175243	"t"	"t"	0.534655986234733	"t"	"g"	-0.488006073264213	-0.19469587942027	"+"
"5"	"b"	-0.961605398954288	0.174015057174932	"u"	"g"	"w"	"v"	-0.153415134494546	"t"	"f"	-0.493528602678215	"f"	"s"	-0.371834579329872	-0.195271683820164	"+"
"6"	"b"	0.0431803872619832	-0.152410557830828	"u"	"g"	"m"	"v"	0.0826514563677744	"t"	"f"	-0.493528602678215	"t"	"g"	1.02222334788222	-0.195271683820164	"+"
"7"	"b"	0.135138112448863	-0.747007370395165	"u"	"g"	"r"	"h"	1.27792533415167	"t"	"f"	-0.493528602678215	"t"	"g"	-0.116257292674322	5.80940853307073	"+"
"8"	"a"	-0.729601963849776	1.37124377436529	"u"	"g"	"cc"	"v"	-0.652441978469324	"t"	"f"	-0.493528602678215	"f"	"g"	-0.604177567198555	0.0636483613320118	"+"
"9"	"b"	1.92789192916555	-0.855481113227849	"y"	"p"	"k"	"h"	0.518926421758898	"t"	"f"	-0.493528602678215	"f"	"g"	-0.0233200975268492	-0.135004156631296	"+"
"10"	"b"	0.922262494094356	0.031392173080108	"y"	"p"	"w"	"v"	0.281365738549348	"t"	"f"	-0.493528602678215	"t"	"g"	-0.766817658706632	0.0814982977287148	"+"
"11"	"b"	-0.800468467663518	-0.789191603718987	"u"	"g"	"c"	"h"	-0.0174527308966273	"f"	"f"	-0.493528602678215	"t"	"g"	-0.325365981756136	-0.195271683820164	"+"
"12"	"b"	-0.139047765401925	-0.587309915669271	"u"	"g"	"c"	"h"	0.630983347801139	"t"	"f"	-0.493528602678215	"f"	"g"	0.441365878210515	-0.156884723827254	"+"
"13"	"a"	0.563711730751018	0.249344045253185	"u"	"g"	"k"	"v"	-0.365576247801188	"t"	"f"	-0.493528602678215	"t"	"g"	-1.06886354293592	-0.195271683820164	"+"
"14"	"b"	1.39301855514279	0.257379137314865	"u"	"g"	"k"	"v"	-0.652441978469324	"f"	"f"	-0.493528602678215	"f"	"g"	-1.06886354293592	0.321032928084471	"+"
"15"	"a"	1.20319756278455	1.15329190219221	"u"	"g"	"q"	"v"	0.829697629982712	"t"	"t"	0.945929821799912	"t"	"g"	-1.06886354293592	-0.195271683820164	"+"
"16"	"b"	0.430415211672789	-0.069046477690895	"y"	"p"	"k"	"v"	-0.58969009988567	"t"	"t"	1.56284057514768	"t"	"g"	0.789880360013538	-0.195271683820164	"+"
"17"	"b"	-0.279937124174484	-0.780152125149596	"u"	"g"	"m"	"v"	-0.377528986579027	"t"	"t"	0.123382150669554	"t"	"g"	1.23133203696403	-0.195271683820164	"+"
"18"	"a"	-0.701761551637234	0.224234382560434	"u"	"g"	"q"	"v"	0.282859830896578	"t"	"t"	1.56284057514768	"f"	"g"	-0.371834579329872	-0.148247657828849	"+"
"19"	"b"	-0.821559689036656	-0.90570043861335	"u"	"g"	"d"	"h"	-0.46568043506559	"t"	"f"	-0.493528602678215	"t"	"g"	-1.06886354293592	-0.195271683820164	"+"
"20"	"a"	-1.04597028444684	0.76861186973927	"u"	"g"	"cc"	"h"	-0.440280865162682	"t"	"t"	0.945929821799912	"f"	"g"	-0.511240372051082	-0.195271683820164	"+"
"21"	"b"	-0.554123002025272	1.30394987834872	"u"	"g"	"c"	"v"	0.0826514563677744	"t"	"t"	3.00229899962581	"f"	"g"	0.0928513964074919	0.0365855545370105	"+"
"22"	"b"	-0.701761551637234	-0.755042462456846	"u"	"g"	"c"	"v"	-0.414881295259774	"t"	"f"	-0.493528602678215	"f"	"s"	0.673708866079197	-0.195271683820164	"+"
"23"	"a"	1.36517814293024	0.651098648337197	"u"	"g"	"c"	"v"	1.68880072963989	"t"	"t"	0.740292904017322	"t"	"g"	-1.06886354293592	0.046566164135167	"+"
"24"	"a"	-0.3499599791333	1.95680110836024	"u"	"g"	"x"	"h"	0.25746026099367	"t"	"t"	-0.287891684895625	"f"	"g"	-0.371834579329872	-0.193160401020554	"+"
"25"	"a"	0.810057196389264	0.349782696024188	"u"	"g"	"q"	"v"	-0.514985482524176	"t"	"t"	0.123382150669554	"t"	"g"	-0.226620211911946	-0.195271683820164	"+"
"26"	"a"	-1.32774900199196	-0.838406542596778	"u"	"g"	"c"	"h"	-0.216167013078201	"t"	"t"	-0.0822547671130358	"f"	"g"	-0.488006073264213	-0.195271683820164	"+"
"27"	"a"	1.30190447881083	1.65548515604723	"u"	"g"	"i"	"bb"	0.879002677441298	"t"	"t"	1.35720365736509	"t"	"g"	-1.06886354293592	-0.195271683820164	"+"
"28"	"b"	2.11012008182946	2.76031031452826	"u"	"g"	"d"	"bb"	3.81788232444246	"t"	"t"	3.00229899962581	"t"	"g"	-1.06886354293592	-0.195271683820164	"+"
"29"	"b"	2.1809865856432	0.7515372991082	"u"	"g"	"e"	"h"	1.42733456887466	"t"	"t"	0.123382150669554	"f"	"g"	-1.06886354293592	-0.195271683820164	"+"
"30"	"b"	0.886829242187484	-0.747007370395165	"u"	"g"	"w"	"v"	0.829697629982712	"t"	"t"	0.740292904017322	"t"	"g"	1.83542380542261	1.72407631582532	"+"
