"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"
"1"	"b"	0.256842105263158	0	"u"	"g"	"w"	"v"	0.043859649122807	"t"	"t"	0.0149253731343284	"f"	"g"	0.101	0	"+"
"2"	"a"	0.675488721804511	0.159285714285714	"u"	"g"	"q"	"h"	0.106666666666667	"t"	"t"	0.0895522388059701	"f"	"g"	0.0215	0.0056	"+"
"3"	"a"	0.161654135338346	0.0178571428571429	"u"	"g"	"q"	"h"	0.0526315789473684	"t"	"f"	0	"f"	"g"	0.14	0.00824	"+"
"4"	"b"	0.211729323308271	0.055	"u"	"g"	"w"	"v"	0.131578947368421	"t"	"t"	0.0746268656716418	"t"	"g"	0.05	3e-05	"+"
"5"	"b"	0.0965413533834587	0.200892857142857	"u"	"g"	"w"	"v"	0.06	"t"	"f"	0	"f"	"s"	0.06	0	"+"
"6"	"b"	0.275639097744361	0.142857142857143	"u"	"g"	"m"	"v"	0.087719298245614	"t"	"f"	0	"t"	"g"	0.18	0	"+"
"7"	"b"	0.29203007518797	0.0371428571428571	"u"	"g"	"r"	"h"	0.228070175438596	"t"	"f"	0	"t"	"g"	0.082	0.31285	"+"
"8"	"a"	0.137894736842105	0.41375	"u"	"g"	"cc"	"v"	0.00140350877192982	"t"	"f"	0	"f"	"g"	0.04	0.01349	"+"
"9"	"b"	0.611578947368421	0.0178571428571429	"y"	"p"	"k"	"h"	0.138947368421053	"t"	"f"	0	"f"	"g"	0.09	0.00314	"+"
"10"	"b"	0.432330827067669	0.175535714285714	"y"	"p"	"w"	"v"	0.111052631578947	"t"	"f"	0	"t"	"g"	0.026	0.01442	"+"
"11"	"b"	0.125263157894737	0.0296428571428571	"u"	"g"	"c"	"h"	0.0759649122807017	"f"	"f"	0	"t"	"g"	0.064	0	"+"
"12"	"b"	0.243157894736842	0.0655357142857143	"u"	"g"	"c"	"h"	0.152105263157895	"t"	"f"	0	"f"	"g"	0.13	0.002	"+"
"13"	"a"	0.368421052631579	0.214285714285714	"u"	"g"	"k"	"v"	0.0350877192982456	"t"	"f"	0	"t"	"g"	0	0	"+"
"14"	"b"	0.516240601503759	0.215714285714286	"u"	"g"	"k"	"v"	0.00140350877192982	"f"	"f"	0	"f"	"g"	0	0.0269	"+"
"15"	"a"	0.482406015037594	0.375	"u"	"g"	"q"	"v"	0.175438596491228	"t"	"t"	0.104477611940299	"t"	"g"	0	0	"+"
"16"	"b"	0.344661654135338	0.157678571428571	"y"	"p"	"k"	"v"	0.0087719298245614	"t"	"t"	0.149253731343284	"t"	"g"	0.16	0	"+"
"17"	"b"	0.218045112781955	0.03125	"u"	"g"	"m"	"v"	0.0336842105263158	"t"	"t"	0.0447761194029851	"t"	"g"	0.198	0	"+"
"18"	"a"	0.142857142857143	0.209821428571429	"u"	"g"	"q"	"v"	0.111228070175439	"t"	"t"	0.149253731343284	"f"	"g"	0.06	0.00245	"+"
"19"	"b"	0.121503759398496	0.00892857142857143	"u"	"g"	"d"	"h"	0.0233333333333333	"t"	"f"	0	"t"	"g"	0	0	"+"
"20"	"a"	0.0815037593984963	0.306607142857143	"u"	"g"	"cc"	"h"	0.0263157894736842	"t"	"t"	0.104477611940299	"f"	"g"	0.048	0	"+"
"21"	"b"	0.169172932330827	0.401785714285714	"u"	"g"	"c"	"v"	0.087719298245614	"t"	"t"	0.253731343283582	"f"	"g"	0.1	0.01208	"+"
"22"	"b"	0.142857142857143	0.0357142857142857	"u"	"g"	"c"	"v"	0.0292982456140351	"t"	"f"	0	"f"	"s"	0.15	0	"+"
"23"	"a"	0.511278195488722	0.285714285714286	"u"	"g"	"c"	"v"	0.276315789473684	"t"	"t"	0.0895522388059701	"t"	"g"	0	0.0126	"+"
"24"	"a"	0.205563909774436	0.517857142857143	"u"	"g"	"x"	"h"	0.108245614035088	"t"	"t"	0.0149253731343284	"f"	"g"	0.06	0.00011	"+"
"25"	"a"	0.412330827067669	0.232142857142857	"u"	"g"	"q"	"v"	0.0175438596491228	"t"	"t"	0.0447761194029851	"t"	"g"	0.0725	0	"+"
"26"	"a"	0.0312781954887218	0.0208928571428571	"u"	"g"	"c"	"h"	0.0526315789473684	"t"	"t"	0.0298507462686567	"f"	"g"	0.05	0	"+"
"27"	"a"	0.5	0.464285714285714	"u"	"g"	"i"	"bb"	0.181228070175439	"t"	"t"	0.134328358208955	"t"	"g"	0	0	"+"
"28"	"b"	0.64406015037594	0.660714285714286	"u"	"g"	"d"	"bb"	0.526315789473684	"t"	"t"	0.253731343283582	"t"	"g"	0	0	"+"
"29"	"b"	0.656691729323308	0.303571428571429	"u"	"g"	"e"	"h"	0.245614035087719	"t"	"t"	0.0447761194029851	"f"	"g"	0	0	"+"
"30"	"b"	0.426015037593985	0.0371428571428571	"u"	"g"	"w"	"v"	0.175438596491228	"t"	"t"	0.0895522388059701	"t"	"g"	0.25	0.1	"+"
"31"	"b"	0.233082706766917	0.528214285714286	"u"	"g"	"aa"	"v"	0.176842105263158	"t"	"t"	0.0746268656716418	"t"	"g"	0.084	0	"+"
"32"	"b"	0.424812030075188	0.349642857142857	"u"	"g"	"x"	"h"	0.279298245614035	"t"	"t"	0.119402985074627	"f"	"g"	0	0	"+"
"33"	"b"	0.537593984962406	0.270892857142857	"u"	"g"	"i"	"bb"	0.266140350877193	"t"	"t"	0.223880597014925	"t"	"g"	0	0.05	"+"
"34"	"a"	0.345864661654135	0.183035714285714	"u"	"g"	"e"	"v"	0.175438596491228	"t"	"f"	0	"t"	"g"	0	0.04	"+"
"35"	"a"	0.132781954887218	0.383928571428571	"u"	"g"	"q"	"v"	0.0145614035087719	"t"	"t"	0.0746268656716418	"t"	"g"	0	0.0056	"+"
"36"	"b"	0.211729323308271	0.0535714285714286	"u"	"g"	"w"	"v"	0.0701754385964912	"t"	"t"	0.164179104477612	"t"	"g"	0.217	0.00035	"+"
"37"	"b"	0.203007518796992	0.0566071428571429	"u"	"g"	"cc"	"h"	0.0643859649122807	"t"	"t"	0.17910447761194	"t"	"g"	0.2915	0.00713	"+"
"38"	"a"	0.139097744360902	0.419642857142857	"u"	"g"	"x"	"h"	0.0175438596491228	"t"	"t"	0.0298507462686567	"t"	"g"	0.15	0.00551	"+"
"39"	"b"	0.210526315789474	0.0208928571428571	"y"	"p"	"cc"	"v"	0.0087719298245614	"t"	"t"	0.0298507462686567	"f"	"g"	0.13	0.005	"+"
"40"	"b"	0.613984962406015	0.33625	"u"	"g"	"ff"	"ff"	0.50578947368421	"t"	"t"	0.164179104477612	"t"	"g"	0.015	0.003	"+"
"41"	"b"	0.307067669172932	0.3275	"u"	"g"	"c"	"v"	0.157894736842105	"t"	"t"	0.17910447761194	"t"	"g"	0	0.00221	"+"
"42"	"b"	0.22812030075188	0.535714285714286	"u"	"g"	"c"	"h"	0.18719298245614	"t"	"t"	0.164179104477612	"f"	"g"	0	0.02283	"+"
"43"	"b"	0.239398496240602	0.0505357142857143	"u"	"g"	"w"	"h"	0.0263157894736842	"t"	"t"	0.0149253731343284	"f"	"g"	0.12	0.001	"+"
"44"	"b"	0.388421052631579	0.496964285714286	"u"	"g"	"w"	"v"	0.302631578947368	"t"	"t"	0.0895522388059701	"t"	"g"	0.035	0	"+"
"45"	"b"	0.641654135338346	1	"y"	"p"	"c"	"v"	1	"t"	"t"	0.597014925373134	"f"	"g"	0	0.00015	"+"
"46"	"b"	0.610225563909774	0.241071428571429	"u"	"g"	"c"	"h"	0.0921052631578947	"t"	"t"	0.164179104477612	"t"	"g"	0	0.00284	"+"
"47"	"a"	0.409774436090226	0.0728571428571429	"y"	"p"	"q"	"h"	0.0043859649122807	"t"	"t"	0.343283582089552	"t"	"g"	0.2275	0.01236	"+"
"48"	"b"	0.273233082706767	0.159285714285714	"u"	"g"	"cc"	"h"	0.211929824561404	"t"	"t"	0.0447761194029851	"f"	"g"	0.1555	0.003	"+"
"49"	"b"	0.417293233082707	0.055	"u"	"g"	"i"	"bb"	0.12280701754386	"f"	"f"	0	"f"	"g"	0.108	0	"+"
"50"	"b"	0.152932330827068	0.02375	"u"	"g"	"c"	"v"	0.00578947368421053	"f"	"f"	0	"f"	"g"	0.05	0	"+"
"51"	"a"	0.180451127819549	0.0178571428571429	"u"	"g"	"c"	"h"	0.0307017543859649	"t"	"f"	0	"t"	"g"	0.2455	0	"+"
"52"	"b"	0.184210526315789	0.0357142857142857	"u"	"g"	"q"	"v"	0.0614035087719298	"t"	"f"	0	"t"	"g"	0.14	0	"+"
"53"	"b"	0.35593984962406	0.0728571428571429	"u"	"g"	"w"	"v"	0.00140350877192982	"t"	"f"	0	"t"	"g"	0.2	0.058	"+"
"54"	"b"	0.318345864661654	0.0892857142857143	"u"	"g"	"w"	"v"	0	"t"	"f"	0	"t"	"g"	0.1195	0.002	"+"
"55"	"b"	0.308270676691729	0.107142857142857	"u"	"g"	"cc"	"h"	0.260175438596491	"t"	"f"	0	"t"	"g"	0	0	"+"
"56"	"b"	0.14406015037594	0.415178571428571	"y"	"p"	"w"	"v"	0.0292982456140351	"t"	"f"	0	"t"	"g"	0.08	0.003	"+"
"57"	"b"	0.141654135338346	0	"u"	"g"	"cc"	"v"	0.00298245614035088	"t"	"f"	0	"f"	"g"	0	0	"+"
"58"	"b"	0.45984962406015	0.0178571428571429	"u"	"g"	"i"	"h"	0.175438596491228	"t"	"f"	0	"t"	"g"	0.16	0	"+"
"59"	"b"	0.322105263157895	0.160714285714286	"u"	"g"	"x"	"h"	0.201754385964912	"f"	"f"	0	"t"	"s"	0.3555	0	"+"
"60"	"b"	0.443609022556391	0.107142857142857	"u"	"g"	"q"	"h"	0.210526315789474	"t"	"t"	0.164179104477612	"f"	"g"	0.04	0	"+"
"61"	"b"	0.646616541353383	0.4375	"u"	"g"	"m"	"v"	0.043859649122807	"t"	"t"	0.0597014925373134	"t"	"g"	0.1	0	"+"
"62"	"b"	0.269473684210526	0.577321428571429	"u"	"g"	"d"	"v"	0.105263157894737	"t"	"t"	0.134328358208955	"f"	"g"	0.125	0.0073	"+"
"63"	"a"	0.145413533834586	0.0282142857142857	"y"	"p"	"q"	"v"	0.0526315789473684	"t"	"t"	0.0298507462686567	"t"	"g"	0.04	0.004	"+"
"64"	"a"	0.100300751879699	0.0298214285714286	"u"	"g"	"q"	"v"	0.0556140350877193	"t"	"t"	0.0149253731343284	"f"	"g"	0	0	"+"
"65"	"b"	0.194285714285714	0.151785714285714	"u"	"g"	"cc"	"v"	0.150526315789474	"t"	"t"	0.0149253731343284	"t"	"g"	0.06	0	"+"
"66"	"b"	0.307067669172932	0.055	"u"	"g"	"cc"	"v"	0.0540350877192982	"t"	"t"	0.0149253731343284	"t"	"g"	0.26	0.5	"+"
"67"	"a"	0.334586466165414	0.0357142857142857	"u"	"g"	"c"	"v"	0.0701754385964912	"t"	"t"	0.164179104477612	"f"	"g"	0	0.00456	"+"
"68"	"b"	0.176691729323308	0.0133928571428571	"u"	"g"	"m"	"v"	0.0087719298245614	"t"	"t"	0.0447761194029851	"f"	"g"	0.13	0.15108	"+"
"69"	"b"	0.0852631578947369	0.232142857142857	"u"	"g"	"w"	"h"	0.0512280701754386	"t"	"t"	0.104477611940299	"f"	"g"	0.04	0.02954	"+"
"70"	"b"	0.322105263157895	0.897321428571429	"u"	"g"	"x"	"h"	0.0570175438596491	"t"	"t"	0.0149253731343284	"t"	"g"	0.2575	0.005	"+"
"71"	"b"	0.279398496240601	0.267857142857143	"u"	"g"	"e"	"bb"	0.0556140350877193	"t"	"f"	0	"t"	"s"	0.21	0	"-"
"72"	"b"	0.316992481203007	0.142857142857143	"u"	"g"	"d"	"bb"	0.43859649122807	"t"	"f"	0	"t"	"g"	0.092007385524372	0	"-"
"73"	"a"	0.373383458646617	0.178571428571429	"u"	"g"	"cc"	"v"	0.473684210526316	"t"	"f"	0	"t"	"g"	0.49	0	"-"
"74"	"b"	0.458646616541353	0.0178571428571429	"u"	"g"	"m"	"v"	0.37719298245614	"t"	"f"	0	"f"	"s"	0.2	0	"-"
"75"	"b"	0.467368421052632	0.25	"y"	"p"	"c"	"v"	0.0570175438596491	"f"	"f"	0	"f"	"g"	0.08	2e-05	"-"
"76"	"b"	0.10406015037594	0.188928571428571	"u"	"g"	"q"	"v"	0.0131578947368421	"t"	"t"	0.0149253731343284	"f"	"g"	0.08	0	"-"
"77"	"b"	0.305714285714286	0.232142857142857	"u"	"g"	"aa"	"v"	0.0043859649122807	"t"	"f"	0	"t"	"g"	0.2215	0	"-"
"78"	"a"	0.0815037593984963	0.0208928571428571	"y"	"p"	"aa"	"v"	0.0205263157894737	"t"	"f"	0	"t"	"g"	0.08	0	"-"
